Tiempo,Cantidad
2019-03-18,9
2019-03-19,12
2019-03-20,20
2019-03-21,14
2019-03-22,9
2019-03-23,17
2019-03-24,19
2019-03-25,9
2019-03-26,15
2019-03-27,15
2019-03-28,19
2019-03-29,18
2019-03-30,22
2019-03-31,18
2019-04-01,12
2019-04-02,14
2019-04-03,19
2019-04-04,15
2019-04-05,22
2019-04-06,21
2019-04-07,17
2019-04-08,17
2019-04-09,10
2019-04-10,17
2019-04-11,14
2019-04-12,23
2019-04-13,14
2019-04-14,14
2019-04-15,18
2019-04-16,13
2019-04-17,11
2019-04-18,7
2019-04-19,9
2019-04-20,8
2019-04-21,5
2019-04-22,9
2019-04-23,16
2019-04-24,13
2019-04-25,12
2019-04-26,20
2019-04-27,16
2019-04-28,11
2019-04-29,19
2019-04-30,12
2019-05-01,17
2019-05-02,14
2019-05-03,15
2019-05-04,15
2019-05-05,12
2019-05-06,20
2019-05-07,13
2019-05-08,18
2019-05-09,6
2019-05-10,13
2019-05-11,15
2019-05-12,19
2019-05-13,13
2019-05-14,7
2019-05-15,14
2019-05-16,13
2019-05-17,27
2019-05-18,11
2019-05-19,13
2019-05-20,16
2019-05-21,16
2019-05-22,13
2019-05-23,11
2019-05-24,14
2019-05-25,17
2019-05-26,9
2019-05-27,10
2019-05-28,9
2019-05-29,10
2019-05-30,18
2019-05-31,18
2019-06-01,7
2019-06-02,10
2019-06-03,8
2019-06-04,17
2019-06-05,12
2019-06-06,13
2019-06-07,16
2019-06-08,12
2019-06-09,10
2019-06-10,20
2019-06-11,4
2019-06-12,18
2019-06-13,9
2019-06-14,9
2019-06-15,24
2019-06-16,14
2019-06-17,10
2019-06-18,10
2019-06-19,9
2019-06-20,7
2019-06-21,22
2019-06-22,14
2019-06-23,15
2019-06-24,12
2019-06-25,10
2019-06-26,9
2019-06-27,12
2019-06-28,17
2019-06-29,13
2019-06-30,16
2019-07-01,13
2019-07-02,12
2019-07-03,14
2019-07-04,14
2019-07-05,12
2019-07-06,21
2019-07-07,9
2019-07-08,12
2019-07-09,9
2019-07-10,11
2019-07-11,11
2019-07-12,16
2019-07-13,11
2019-07-14,17
2019-07-15,14
2019-07-16,15
2019-07-17,9
2019-07-18,17
2019-07-19,17
2019-07-20,12
2019-07-21,7
2019-07-22,6
2019-07-23,11
2019-07-24,11
2019-07-25,10
2019-07-26,14
2019-07-27,19
2019-07-28,8
2019-07-29,4
2019-07-30,16
2019-07-31,14
2019-08-01,9
2019-08-02,12
2019-08-03,9
2019-08-04,9
2019-08-05,12
2019-08-06,5
2019-08-07,14
2019-08-08,15
2019-08-09,13
2019-08-10,15
2019-08-11,6
2019-08-12,17
2019-08-13,7
2019-08-14,12
2019-08-15,10
2019-08-16,24
2019-08-17,16
2019-08-18,11
2019-08-19,7
2019-08-20,13
2019-08-21,13
2019-08-22,14
2019-08-23,19
2019-08-24,14
2019-08-25,17
2019-08-26,13
2019-08-27,13
2019-08-28,13
2019-08-29,12
2019-08-30,22
2019-08-31,15
2019-09-01,10
2019-09-02,13
2019-09-03,20
2019-09-04,10
2019-09-05,13
2019-09-06,10
2019-09-07,12
2019-09-08,4
2019-09-09,7
2019-09-10,11
2019-09-11,17
2019-09-12,16
2019-09-13,11
2019-09-14,22
2019-09-15,14
2019-09-16,13
2019-09-17,14
2019-09-18,15
2019-09-19,7
2019-09-20,30
2019-09-21,20
2019-09-22,11
2019-09-23,11
2019-09-24,13
2019-09-25,14
2019-09-26,11
2019-09-27,17
2019-09-28,16
2019-09-29,15
2019-09-30,14
2019-10-01,21
2019-10-02,22
2019-10-03,7
2019-10-04,16
2019-10-05,16
2019-10-06,11
2019-10-07,8
2019-10-08,14
2019-10-09,14
2019-10-10,10
2019-10-11,18
2019-10-12,19
2019-10-13,9
2019-10-14,7
2019-10-15,20
2019-10-16,19
2019-10-17,9
2019-10-18,24
2019-10-19,27
2019-10-20,18
2019-10-21,19
2019-10-22,16
2019-10-23,11
2019-10-24,14
2019-10-25,13
2019-10-26,15
2019-10-27,6
2019-10-28,20
2019-10-29,15
2019-10-30,13
2019-10-31,24
2019-11-01,26
2019-11-02,21
2019-11-03,15
2019-11-04,8
2019-11-05,10
2019-11-06,21
2019-11-07,10
2019-11-08,19
2019-11-09,13
2019-11-10,13
2019-11-11,15
2019-11-12,14
2019-11-13,15
2019-11-14,16
2019-11-15,17
2019-11-16,19
2019-11-17,7
2019-11-18,8
2019-11-19,11
2019-11-20,14
2019-11-21,14
2019-11-22,11
2019-11-23,8
2019-11-24,10
2019-11-25,13
2019-11-26,7
2019-11-27,9
2019-11-28,13
2019-11-29,21
2019-11-30,20
2019-12-01,15
2019-12-02,10
2019-12-03,12
2019-12-04,14
2019-12-05,16
2019-12-06,14
2019-12-07,38
2019-12-08,17
2019-12-09,20
2019-12-10,14
2019-12-11,12
2019-12-12,12
2019-12-13,16
2019-12-14,19
2019-12-15,11
2019-12-16,22
2019-12-17,19
2019-12-18,19
2019-12-19,18
2019-12-20,15
2019-12-21,18
2019-12-22,10
2019-12-23,13
2019-12-24,14
2019-12-25,20
2019-12-26,8
2019-12-27,17
2019-12-28,25
2019-12-29,23
2019-12-30,25
2019-12-31,14
2020-01-01,12
2020-01-02,14
2020-01-03,20
2020-01-04,14
2020-01-05,9
2020-01-06,14
2020-01-07,23
2020-01-08,19
2020-01-09,17
2020-01-10,18
2020-01-11,4
2020-01-12,24
2020-01-13,12
2020-01-14,9
2020-01-15,15
2020-01-16,17
2020-01-17,22
2020-01-18,19
2020-01-19,12
2020-01-20,16
2020-01-21,13
2020-01-22,11
2020-01-23,10
2020-01-24,14
2020-01-25,12
2020-01-26,11
2020-01-27,8
2020-01-28,11
2020-01-29,7
2020-01-30,12
2020-01-31,16
2020-02-01,15
2020-02-02,15
2020-02-03,11
2020-02-04,18
2020-02-05,12
2020-02-06,14
2020-02-07,11
2020-02-08,8
2020-02-09,18
2020-02-10,13
2020-02-11,10
2020-02-12,7
2020-02-13,16
2020-02-14,17
2020-02-15,15
2020-02-16,9
2020-02-17,11
2020-02-18,15
2020-02-19,17
2020-02-20,20
2020-02-21,11
2020-02-22,14
2020-02-23,18
2020-02-24,11
2020-02-25,6
2020-02-26,13
2020-02-27,13
2020-02-28,18
2020-02-29,14
2020-03-01,10
2020-03-02,12
2020-03-03,21
2020-03-04,11
2020-03-05,18
2020-03-06,11
2020-03-07,14
2020-03-08,15
2020-03-09,11
2020-03-10,13
2020-03-11,13
2020-03-12,13
2020-03-13,6
2020-03-14,16
2020-03-15,14
2020-03-16,11
2020-03-17,9
2020-03-18,6
2020-03-19,6
2020-03-20,5
2020-03-21,2
2020-03-23,2
2020-03-24,3
2020-03-25,2
2020-03-26,2
2020-03-27,2
2020-03-29,3
2020-03-30,2
2020-03-31,1
2020-04-01,4
2020-04-02,5
2020-04-03,3
2020-04-04,1
2020-04-05,1
2020-04-06,8
2020-04-07,4
2020-04-08,3
2020-04-09,3
2020-04-10,2
2020-04-11,3
2020-04-13,2
2020-04-14,4
2020-04-15,5
2020-04-16,3
2020-04-17,7
2020-04-18,3
2020-04-19,7
2020-04-20,6
