Tiempo,Cantidad
2019-03-18,83
2019-03-19,96
2019-03-20,100
2019-03-21,114
2019-03-22,107
2019-03-23,85
2019-03-24,54
2019-03-25,67
2019-03-26,105
2019-03-27,83
2019-03-28,107
2019-03-29,127
2019-03-30,120
2019-03-31,83
2019-04-01,98
2019-04-02,102
2019-04-03,88
2019-04-04,85
2019-04-05,102
2019-04-06,117
2019-04-07,70
2019-04-08,92
2019-04-09,90
2019-04-10,97
2019-04-11,94
2019-04-12,138
2019-04-13,82
2019-04-14,72
2019-04-15,83
2019-04-16,74
2019-04-17,77
2019-04-18,46
2019-04-19,32
2019-04-20,44
2019-04-21,48
2019-04-22,97
2019-04-23,95
2019-04-24,115
2019-04-25,111
2019-04-26,117
2019-04-27,129
2019-04-28,77
2019-04-29,108
2019-04-30,107
2019-05-01,67
2019-05-02,109
2019-05-03,118
2019-05-04,82
2019-05-05,75
2019-05-06,111
2019-05-07,104
2019-05-08,102
2019-05-09,110
2019-05-10,99
2019-05-11,87
2019-05-12,56
2019-05-13,79
2019-05-14,68
2019-05-15,105
2019-05-16,97
2019-05-17,121
2019-05-18,88
2019-05-19,78
2019-05-20,85
2019-05-21,92
2019-05-22,82
2019-05-23,83
2019-05-24,100
2019-05-25,89
2019-05-26,73
2019-05-27,81
2019-05-28,73
2019-05-29,91
2019-05-30,93
2019-05-31,119
2019-06-01,82
2019-06-02,82
2019-06-03,55
2019-06-04,111
2019-06-05,83
2019-06-06,88
2019-06-07,115
2019-06-08,90
2019-06-09,47
2019-06-10,117
2019-06-11,89
2019-06-12,101
2019-06-13,92
2019-06-14,119
2019-06-15,124
2019-06-16,68
2019-06-17,99
2019-06-18,96
2019-06-19,90
2019-06-20,87
2019-06-21,89
2019-06-22,88
2019-06-23,59
2019-06-24,52
2019-06-25,88
2019-06-26,89
2019-06-27,73
2019-06-28,104
2019-06-29,85
2019-06-30,63
2019-07-01,65
2019-07-02,114
2019-07-03,130
2019-07-04,108
2019-07-05,101
2019-07-06,79
2019-07-07,72
2019-07-08,66
2019-07-09,72
2019-07-10,91
2019-07-11,97
2019-07-12,106
2019-07-13,98
2019-07-14,68
2019-07-15,107
2019-07-16,82
2019-07-17,91
2019-07-18,86
2019-07-19,95
2019-07-20,70
2019-07-21,44
2019-07-22,73
2019-07-23,83
2019-07-24,81
2019-07-25,94
2019-07-26,97
2019-07-27,93
2019-07-28,71
2019-07-29,82
2019-07-30,95
2019-07-31,97
2019-08-01,89
2019-08-02,106
2019-08-03,81
2019-08-04,48
2019-08-05,85
2019-08-06,98
2019-08-07,78
2019-08-08,92
2019-08-09,104
2019-08-10,111
2019-08-11,81
2019-08-12,99
2019-08-13,67
2019-08-14,88
2019-08-15,119
2019-08-16,118
2019-08-17,88
2019-08-18,73
2019-08-19,62
2019-08-20,92
2019-08-21,101
2019-08-22,69
2019-08-23,103
2019-08-24,96
2019-08-25,79
2019-08-26,78
2019-08-27,95
2019-08-28,99
2019-08-29,77
2019-08-30,141
2019-08-31,117
2019-09-01,84
2019-09-02,117
2019-09-03,90
2019-09-04,82
2019-09-05,89
2019-09-06,109
2019-09-07,101
2019-09-08,59
2019-09-09,79
2019-09-10,95
2019-09-11,91
2019-09-12,116
2019-09-13,118
2019-09-14,106
2019-09-15,76
2019-09-16,89
2019-09-17,88
2019-09-18,92
2019-09-19,87
2019-09-20,124
2019-09-21,111
2019-09-22,56
2019-09-23,88
2019-09-24,91
2019-09-25,91
2019-09-26,92
2019-09-27,122
2019-09-28,104
2019-09-29,57
2019-09-30,100
2019-10-01,111
2019-10-02,108
2019-10-03,89
2019-10-04,124
2019-10-05,92
2019-10-06,70
2019-10-07,75
2019-10-08,111
2019-10-09,108
2019-10-10,92
2019-10-11,93
2019-10-12,82
2019-10-13,42
2019-10-14,43
2019-10-15,123
2019-10-16,116
2019-10-17,93
2019-10-18,113
2019-10-19,106
2019-10-20,69
2019-10-21,93
2019-10-22,71
2019-10-23,106
2019-10-24,89
2019-10-25,107
2019-10-26,87
2019-10-27,57
2019-10-28,108
2019-10-29,113
2019-10-30,99
2019-10-31,123
2019-11-01,117
2019-11-02,113
2019-11-03,68
2019-11-04,64
2019-11-05,93
2019-11-06,99
2019-11-07,111
2019-11-08,120
2019-11-09,86
2019-11-10,71
2019-11-11,64
2019-11-12,85
2019-11-13,108
2019-11-14,106
2019-11-15,130
2019-11-16,112
2019-11-17,62
2019-11-18,81
2019-11-19,112
2019-11-20,114
2019-11-21,108
2019-11-22,125
2019-11-23,54
2019-11-24,52
2019-11-25,76
2019-11-26,79
2019-11-27,83
2019-11-28,94
2019-11-29,110
2019-11-30,138
2019-12-01,79
2019-12-02,102
2019-12-03,99
2019-12-04,106
2019-12-05,107
2019-12-06,111
2019-12-07,108
2019-12-08,69
2019-12-09,92
2019-12-10,107
2019-12-11,95
2019-12-12,96
2019-12-13,106
2019-12-14,109
2019-12-15,72
2019-12-16,86
2019-12-17,111
2019-12-18,98
2019-12-19,92
2019-12-20,98
2019-12-21,125
2019-12-22,72
2019-12-23,92
2019-12-24,84
2019-12-25,55
2019-12-26,52
2019-12-27,107
2019-12-28,119
2019-12-29,77
2019-12-30,132
2019-12-31,117
2020-01-01,105
2020-01-02,119
2020-01-03,117
2020-01-04,132
2020-01-05,87
2020-01-06,94
2020-01-07,141
2020-01-08,149
2020-01-09,128
2020-01-10,108
2020-01-11,79
2020-01-12,73
2020-01-13,93
2020-01-14,92
2020-01-15,96
2020-01-16,99
2020-01-17,107
2020-01-18,86
2020-01-19,45
2020-01-20,92
2020-01-21,91
2020-01-22,80
2020-01-23,87
2020-01-24,106
2020-01-25,81
2020-01-26,52
2020-01-27,99
2020-01-28,84
2020-01-29,73
2020-01-30,91
2020-01-31,96
2020-02-01,91
2020-02-02,75
2020-02-03,89
