Tiempo,Cantidad
2019-03-18,140
2019-03-19,142
2019-03-20,162
2019-03-21,155
2019-03-22,152
2019-03-23,148
2019-03-24,139
2019-03-25,132
2019-03-26,158
2019-03-27,143
2019-03-28,169
2019-03-29,172
2019-03-30,191
2019-03-31,199
2019-04-01,150
2019-04-02,165
2019-04-03,140
2019-04-04,136
2019-04-05,146
2019-04-06,199
2019-04-07,171
2019-04-08,137
2019-04-09,132
2019-04-10,136
2019-04-11,120
2019-04-12,183
2019-04-13,133
2019-04-14,127
2019-04-15,117
2019-04-16,108
2019-04-17,127
2019-04-18,78
2019-04-19,57
2019-04-20,81
2019-04-21,87
2019-04-22,122
2019-04-23,148
2019-04-24,144
2019-04-25,151
2019-04-26,157
2019-04-27,201
2019-04-28,165
2019-04-29,158
2019-04-30,150
2019-05-01,150
2019-05-02,160
2019-05-03,158
2019-05-04,149
2019-05-05,173
2019-05-06,166
2019-05-07,154
2019-05-08,139
2019-05-09,166
2019-05-10,144
2019-05-11,173
2019-05-12,193
2019-05-13,129
2019-05-14,124
2019-05-15,160
2019-05-16,151
2019-05-17,179
2019-05-18,145
2019-05-19,147
2019-05-20,153
2019-05-21,146
2019-05-22,139
2019-05-23,132
2019-05-24,142
2019-05-25,191
2019-05-26,165
2019-05-27,128
2019-05-28,116
2019-05-29,141
2019-05-30,132
2019-05-31,161
2019-06-01,142
2019-06-02,179
2019-06-03,105
2019-06-04,158
2019-06-05,143
2019-06-06,134
2019-06-07,167
2019-06-08,149
2019-06-09,133
2019-06-10,169
2019-06-11,111
2019-06-12,133
2019-06-13,149
2019-06-14,166
2019-06-15,223
2019-06-16,181
2019-06-17,141
2019-06-18,132
2019-06-19,144
2019-06-20,133
2019-06-21,112
2019-06-22,132
2019-06-23,147
2019-06-24,96
2019-06-25,118
2019-06-26,118
2019-06-27,106
2019-06-28,150
2019-06-29,136
2019-06-30,121
2019-07-01,100
2019-07-02,155
2019-07-03,178
2019-07-04,144
2019-07-05,132
2019-07-06,141
2019-07-07,145
2019-07-08,100
2019-07-09,109
2019-07-10,129
2019-07-11,150
2019-07-12,144
2019-07-13,143
2019-07-14,161
2019-07-15,151
2019-07-16,116
2019-07-17,137
2019-07-18,121
2019-07-19,145
2019-07-20,123
2019-07-21,108
2019-07-22,105
2019-07-23,121
2019-07-24,138
2019-07-25,135
2019-07-26,135
2019-07-27,154
2019-07-28,136
2019-07-29,124
2019-07-30,139
2019-07-31,131
2019-08-01,132
2019-08-02,141
2019-08-03,138
2019-08-04,134
2019-08-05,122
2019-08-06,127
2019-08-07,134
2019-08-08,128
2019-08-09,131
2019-08-10,152
2019-08-11,140
2019-08-12,134
2019-08-13,101
2019-08-14,127
2019-08-15,145
2019-08-16,157
2019-08-17,137
2019-08-18,148
2019-08-19,118
2019-08-20,134
2019-08-21,137
2019-08-22,118
2019-08-23,135
2019-08-24,161
2019-08-25,151
2019-08-26,117
2019-08-27,147
2019-08-28,141
2019-08-29,131
2019-08-30,184
2019-08-31,178
2019-09-01,155
2019-09-02,143
2019-09-03,143
2019-09-04,125
2019-09-05,117
2019-09-06,153
2019-09-07,164
2019-09-08,118
2019-09-09,112
2019-09-10,133
2019-09-11,126
2019-09-12,153
2019-09-13,164
2019-09-14,158
2019-09-15,151
2019-09-16,137
2019-09-17,131
2019-09-18,128
2019-09-19,135
2019-09-20,156
2019-09-21,178
2019-09-22,134
2019-09-23,125
2019-09-24,121
2019-09-25,146
2019-09-26,139
2019-09-27,163
2019-09-28,171
2019-09-29,133
2019-09-30,147
2019-10-01,150
2019-10-02,158
2019-10-03,129
2019-10-04,168
2019-10-05,159
2019-10-06,143
2019-10-07,104
2019-10-08,141
2019-10-09,140
2019-10-10,114
2019-10-11,125
2019-10-12,139
2019-10-13,92
2019-10-14,85
2019-10-15,154
2019-10-16,146
2019-10-17,128
2019-10-18,145
2019-10-19,170
2019-10-20,136
2019-10-21,129
2019-10-22,110
2019-10-23,147
2019-10-24,128
2019-10-25,147
2019-10-26,140
2019-10-27,108
2019-10-28,142
2019-10-29,156
2019-10-30,131
2019-10-31,179
2019-11-01,172
2019-11-02,166
2019-11-03,170
2019-11-04,103
2019-11-05,135
2019-11-06,146
2019-11-07,143
2019-11-08,163
2019-11-09,135
2019-11-10,132
2019-11-11,105
2019-11-12,116
2019-11-13,135
2019-11-14,141
2019-11-15,171
2019-11-16,170
2019-11-17,153
2019-11-18,118
2019-11-19,142
2019-11-20,147
2019-11-21,154
2019-11-22,159
2019-11-23,110
2019-11-24,117
2019-11-25,103
2019-11-26,112
2019-11-27,112
2019-11-28,122
2019-11-29,134
2019-11-30,210
2019-12-01,149
2019-12-02,136
2019-12-03,130
2019-12-04,153
2019-12-05,150
2019-12-06,141
2019-12-07,247
2019-12-08,210
2019-12-09,119
2019-12-10,136
2019-12-11,129
2019-12-12,133
2019-12-13,154
2019-12-14,161
2019-12-15,142
2019-12-16,117
2019-12-17,146
2019-12-18,135
2019-12-19,132
2019-12-20,124
2019-12-21,169
2019-12-22,122
2019-12-23,132
2019-12-24,136
2019-12-25,245
2019-12-26,80
2019-12-27,136
2019-12-28,145
2019-12-29,141
2019-12-30,152
2019-12-31,149
2020-01-01,233
2020-01-02,126
2020-01-03,146
2020-01-04,162
2020-01-05,108
2020-01-06,120
2020-01-07,159
2020-01-08,172
2020-01-09,171
2020-01-10,144
2020-01-11,110
2020-01-12,117
2020-01-13,126
2020-01-14,112
2020-01-15,130
2020-01-16,145
2020-01-17,137
2020-01-18,135
2020-01-19,112
2020-01-20,133
2020-01-21,124
2020-01-22,116
2020-01-23,123
2020-01-24,146
2020-01-25,136
2020-01-26,122
2020-01-27,146
2020-01-28,127
2020-01-29,111
2020-01-30,137
2020-01-31,141
2020-02-01,154
2020-02-02,170
2020-02-03,129
2020-02-04,129
2020-02-05,134
2020-02-06,102
2020-02-07,153
2020-02-08,122
2020-02-09,148
2020-02-10,136
2020-02-11,110
2020-02-12,118
2020-02-13,120
2020-02-14,148
2020-02-15,156
2020-02-16,145
2020-02-17,118
2020-02-18,142
2020-02-19,137
2020-02-20,124
2020-02-21,122
2020-02-22,110
2020-02-23,112
2020-02-24,112
2020-02-25,124
2020-02-26,92
2020-02-27,104
2020-02-28,160
2020-02-29,146
2020-03-01,164
2020-03-02,130
2020-03-03,144
2020-03-04,126
2020-03-05,135
2020-03-06,186
2020-03-07,158
2020-03-08,146
2020-03-09,129
2020-03-10,107
2020-03-11,125
2020-03-12,110
2020-03-13,125
2020-03-14,156
2020-03-15,150
2020-03-16,122
2020-03-17,103
2020-03-18,106
2020-03-19,81
2020-03-20,29
2020-03-21,25
2020-03-22,22
2020-03-23,13
2020-03-24,46
2020-03-25,23
2020-03-26,30
2020-03-27,28
2020-03-28,31
2020-03-29,31
2020-03-30,27
2020-03-31,35
2020-04-01,29
2020-04-02,50
2020-04-03,36
2020-04-04,30
2020-04-05,31
2020-04-06,43
2020-04-07,45
2020-04-08,33
2020-04-09,23
2020-04-10,19
2020-04-11,35
2020-04-12,27
2020-04-13,51
2020-04-14,27
2020-04-15,50
2020-04-16,37
2020-04-17,69
2020-04-18,52
2020-04-19,53
2020-04-20,38
