Tiempo,Cantidad
2019-03-18,9
2019-03-19,13
2019-03-20,3
2019-03-21,10
2019-03-22,9
2019-03-23,12
2019-03-24,15
2019-03-25,8
2019-03-26,9
2019-03-27,9
2019-03-28,8
2019-03-29,12
2019-03-30,9
2019-03-31,19
2019-04-01,15
2019-04-02,12
2019-04-03,8
2019-04-04,11
2019-04-05,11
2019-04-06,10
2019-04-07,15
2019-04-08,10
2019-04-09,10
2019-04-10,10
2019-04-11,7
2019-04-12,16
2019-04-13,9
2019-04-14,15
2019-04-15,6
2019-04-16,6
2019-04-17,4
2019-04-18,3
2019-04-19,3
2019-04-20,12
2019-04-21,10
2019-04-22,9
2019-04-23,10
2019-04-24,2
2019-04-25,5
2019-04-26,14
2019-04-27,11
2019-04-28,17
2019-04-29,12
2019-04-30,6
2019-05-01,9
2019-05-02,9
2019-05-03,9
2019-05-04,16
2019-05-05,22
2019-05-06,13
2019-05-07,18
2019-05-08,7
2019-05-09,9
2019-05-10,6
2019-05-11,12
2019-05-12,11
2019-05-13,11
2019-05-14,9
2019-05-15,13
2019-05-16,15
2019-05-17,8
2019-05-18,3
2019-05-19,12
2019-05-20,8
2019-05-21,12
2019-05-22,11
2019-05-23,13
2019-05-24,15
2019-05-25,16
2019-05-26,18
2019-05-27,13
2019-05-28,5
2019-05-29,12
2019-05-30,9
2019-05-31,12
2019-06-01,14
2019-06-02,17
2019-06-03,10
2019-06-04,8
2019-06-05,11
2019-06-06,8
2019-06-07,6
2019-06-08,5
2019-06-09,21
2019-06-10,15
2019-06-11,10
2019-06-12,6
2019-06-13,11
2019-06-14,12
2019-06-15,13
2019-06-16,15
2019-06-17,9
2019-06-18,13
2019-06-19,4
2019-06-20,4
2019-06-21,3
2019-06-22,11
2019-06-23,11
2019-06-24,11
2019-06-25,8
2019-06-26,5
2019-06-27,6
2019-06-28,11
2019-06-29,16
2019-06-30,9
2019-07-01,8
2019-07-02,10
2019-07-03,18
2019-07-04,9
2019-07-05,13
2019-07-06,9
2019-07-07,10
2019-07-08,8
2019-07-09,8
2019-07-10,7
2019-07-11,11
2019-07-12,7
2019-07-13,9
2019-07-14,22
2019-07-15,11
2019-07-16,6
2019-07-17,9
2019-07-18,8
2019-07-19,10
2019-07-20,9
2019-07-21,17
2019-07-22,9
2019-07-23,7
2019-07-24,14
2019-07-25,12
2019-07-26,13
2019-07-27,11
2019-07-28,12
2019-07-29,9
2019-07-30,5
2019-07-31,13
2019-08-01,8
2019-08-02,15
2019-08-03,5
2019-08-04,11
2019-08-05,6
2019-08-06,6
2019-08-07,9
2019-08-08,9
2019-08-09,12
2019-08-10,12
2019-08-11,18
2019-08-12,3
2019-08-13,10
2019-08-14,3
2019-08-15,7
2019-08-16,9
2019-08-17,9
2019-08-18,7
2019-08-19,10
2019-08-20,8
2019-08-21,14
2019-08-22,12
2019-08-23,10
2019-08-24,15
2019-08-25,13
2019-08-26,11
2019-08-27,3
2019-08-28,9
2019-08-29,14
2019-08-30,9
2019-08-31,10
2019-09-01,11
2019-09-02,6
2019-09-03,14
2019-09-04,4
2019-09-05,12
2019-09-06,13
2019-09-07,10
2019-09-08,15
2019-09-09,5
2019-09-10,11
2019-09-11,10
2019-09-12,7
2019-09-13,11
2019-09-14,6
2019-09-15,11
2019-09-16,5
2019-09-17,8
2019-09-18,13
2019-09-19,7
2019-09-20,10
2019-09-21,9
2019-09-22,7
2019-09-23,5
2019-09-24,6
2019-09-25,4
2019-09-26,7
2019-09-27,11
2019-09-28,6
2019-09-29,12
2019-09-30,13
2019-10-01,11
2019-10-02,5
2019-10-03,9
2019-10-04,12
2019-10-05,10
2019-10-06,8
2019-10-07,6
2019-10-08,11
2019-10-09,6
2019-10-10,7
2019-10-11,6
2019-10-12,2
2019-10-13,9
2019-10-14,7
2019-10-15,8
2019-10-16,7
2019-10-17,2
2019-10-18,7
2019-10-19,9
2019-10-20,10
2019-10-21,8
2019-10-22,8
2019-10-23,12
2019-10-24,5
2019-10-25,5
2019-10-26,15
2019-10-27,11
2019-10-28,11
2019-10-29,16
2019-10-30,5
2019-10-31,9
2019-11-01,10
2019-11-02,10
2019-11-03,7
2019-11-04,6
2019-11-05,8
2019-11-06,9
2019-11-07,11
2019-11-08,8
2019-11-09,14
2019-11-10,8
2019-11-11,8
2019-11-12,6
2019-11-13,7
2019-11-14,4
2019-11-15,6
2019-11-16,6
2019-11-17,6
2019-11-18,7
2019-11-19,8
2019-11-20,11
2019-11-21,10
2019-11-22,12
2019-11-23,12
2019-11-24,12
2019-11-25,5
2019-11-26,7
2019-11-27,7
2019-11-28,9
2019-11-29,7
2019-11-30,9
2019-12-01,17
2019-12-02,14
2019-12-03,6
2019-12-04,9
2019-12-05,8
2019-12-06,12
2019-12-07,35
2019-12-08,22
2019-12-09,8
2019-12-10,6
2019-12-11,11
2019-12-12,7
2019-12-13,7
2019-12-14,14
2019-12-15,10
2019-12-16,8
2019-12-17,12
2019-12-18,10
2019-12-19,3
2019-12-20,12
2019-12-21,6
2019-12-22,10
2019-12-23,13
2019-12-24,14
2019-12-25,21
2019-12-26,8
2019-12-27,8
2019-12-28,9
2019-12-29,7
2019-12-30,16
2019-12-31,15
2020-01-01,16
2020-01-02,9
2020-01-03,10
2020-01-04,10
2020-01-05,7
2020-01-06,11
2020-01-07,6
2020-01-08,7
2020-01-09,11
2020-01-10,5
2020-01-11,11
2020-01-12,7
2020-01-13,7
2020-01-14,8
2020-01-15,10
2020-01-16,10
2020-01-17,12
2020-01-18,15
2020-01-19,4
2020-01-20,11
2020-01-21,6
2020-01-22,5
2020-01-23,11
2020-01-24,7
2020-01-25,10
2020-01-26,5
2020-01-27,13
2020-01-28,9
2020-01-29,6
2020-01-30,9
2020-01-31,7
2020-02-01,9
2020-02-02,11
2020-02-03,14
2020-02-04,12
2020-02-05,10
2020-02-06,6
2020-02-07,12
2020-02-08,9
2020-02-09,6
2020-02-10,10
2020-02-11,9
2020-02-12,11
2020-02-13,4
2020-02-14,7
2020-02-15,10
2020-02-16,11
2020-02-17,14
2020-02-18,17
2020-02-19,5
2020-02-20,4
2020-02-21,15
2020-02-22,7
2020-02-23,6
2020-02-24,10
2020-02-25,8
2020-02-26,4
2020-02-27,12
2020-02-28,11
2020-02-29,8
2020-03-01,7
2020-03-02,3
2020-03-03,7
2020-03-04,7
2020-03-05,11
2020-03-06,8
2020-03-07,12
2020-03-08,17
2020-03-09,6
2020-03-10,16
2020-03-11,7
2020-03-12,12
2020-03-13,9
2020-03-14,9
2020-03-15,21
2020-03-16,10
2020-03-17,4
2020-03-18,3
2020-03-19,6
2020-03-20,2
2020-03-21,2
2020-03-23,3
2020-03-25,5
2020-03-28,2
2020-03-29,2
2020-03-30,2
2020-03-31,2
2020-04-01,1
2020-04-02,6
2020-04-03,2
2020-04-05,2
2020-04-06,1
2020-04-07,5
2020-04-08,3
2020-04-10,3
2020-04-11,4
2020-04-12,1
2020-04-13,8
2020-04-14,1
2020-04-15,5
2020-04-16,8
2020-04-17,3
2020-04-18,8
2020-04-19,5
2020-04-20,1
