Tiempo,Cantidad
2019-03-18,13
2019-03-19,8
2019-03-20,16
2019-03-21,10
2019-03-22,13
2019-03-23,17
2019-03-24,7
2019-03-25,14
2019-03-26,17
2019-03-27,10
2019-03-28,7
2019-03-29,13
2019-03-30,22
2019-03-31,9
2019-04-01,9
2019-04-02,11
2019-04-03,9
2019-04-04,9
2019-04-05,10
2019-04-06,17
2019-04-07,9
2019-04-08,8
2019-04-09,4
2019-04-10,20
2019-04-11,10
2019-04-12,14
2019-04-13,9
2019-04-14,5
2019-04-15,14
2019-04-16,7
2019-04-17,8
2019-04-18,4
2019-04-19,6
2019-04-20,1
2019-04-21,9
2019-04-22,8
2019-04-23,13
2019-04-24,18
2019-04-25,16
2019-04-26,17
2019-04-27,19
2019-04-28,7
2019-04-29,19
2019-04-30,16
2019-05-01,5
2019-05-02,14
2019-05-03,8
2019-05-04,13
2019-05-05,15
2019-05-06,15
2019-05-07,13
2019-05-08,11
2019-05-09,7
2019-05-10,10
2019-05-11,13
2019-05-12,8
2019-05-13,16
2019-05-14,11
2019-05-15,13
2019-05-16,14
2019-05-17,15
2019-05-18,17
2019-05-19,4
2019-05-20,8
2019-05-21,8
2019-05-22,7
2019-05-23,15
2019-05-24,19
2019-05-25,12
2019-05-26,12
2019-05-27,8
2019-05-28,10
2019-05-29,18
2019-05-30,12
2019-05-31,10
2019-06-01,13
2019-06-02,9
2019-06-03,8
2019-06-04,14
2019-06-05,7
2019-06-06,13
2019-06-07,10
2019-06-08,14
2019-06-09,5
2019-06-10,19
2019-06-11,13
2019-06-12,12
2019-06-13,8
2019-06-14,13
2019-06-15,18
2019-06-16,5
2019-06-17,19
2019-06-18,7
2019-06-19,12
2019-06-20,11
2019-06-21,15
2019-06-22,11
2019-06-23,8
2019-06-24,8
2019-06-25,16
2019-06-26,18
2019-06-27,8
2019-06-28,13
2019-06-29,7
2019-06-30,10
2019-07-01,5
2019-07-02,14
2019-07-03,17
2019-07-04,9
2019-07-05,19
2019-07-06,12
2019-07-07,16
2019-07-08,8
2019-07-09,10
2019-07-10,10
2019-07-11,9
2019-07-12,13
2019-07-13,15
2019-07-14,17
2019-07-15,16
2019-07-16,9
2019-07-17,8
2019-07-18,7
2019-07-19,14
2019-07-20,10
2019-07-21,5
2019-07-22,13
2019-07-23,10
2019-07-24,13
2019-07-25,15
2019-07-26,14
2019-07-27,14
2019-07-28,5
2019-07-29,13
2019-07-30,17
2019-07-31,18
2019-08-01,15
2019-08-02,5
2019-08-03,15
2019-08-04,9
2019-08-05,12
2019-08-06,17
2019-08-07,13
2019-08-08,12
2019-08-09,12
2019-08-10,12
2019-08-11,11
2019-08-12,9
2019-08-13,8
2019-08-14,12
2019-08-15,13
2019-08-16,15
2019-08-17,14
2019-08-18,11
2019-08-19,7
2019-08-20,15
2019-08-21,9
2019-08-22,10
2019-08-23,13
2019-08-24,12
2019-08-25,8
2019-08-26,8
2019-08-27,18
2019-08-28,14
2019-08-29,7
2019-08-30,20
2019-08-31,17
2019-09-01,16
2019-09-02,19
2019-09-03,8
2019-09-04,8
2019-09-05,8
2019-09-06,9
2019-09-07,8
2019-09-08,11
2019-09-09,9
2019-09-10,11
2019-09-11,9
2019-09-12,15
2019-09-13,17
2019-09-14,17
2019-09-15,9
2019-09-16,11
2019-09-17,9
2019-09-18,9
2019-09-19,7
2019-09-20,10
2019-09-21,11
2019-09-22,8
2019-09-23,13
2019-09-24,7
2019-09-25,7
2019-09-26,10
2019-09-27,16
2019-09-28,11
2019-09-29,11
2019-09-30,4
2019-10-01,11
2019-10-02,13
2019-10-03,8
2019-10-04,14
2019-10-05,10
2019-10-06,5
2019-10-07,6
2019-10-08,8
2019-10-09,16
2019-10-10,11
2019-10-11,9
2019-10-12,8
2019-10-13,6
2019-10-14,3
2019-10-15,16
2019-10-16,13
2019-10-17,8
2019-10-18,15
2019-10-19,14
2019-10-20,9
2019-10-21,16
2019-10-22,4
2019-10-23,6
2019-10-24,12
2019-10-25,20
2019-10-26,10
2019-10-27,8
2019-10-28,17
2019-10-29,8
2019-10-30,7
2019-10-31,17
2019-11-01,16
2019-11-02,17
2019-11-03,5
2019-11-04,5
2019-11-05,9
2019-11-06,14
2019-11-07,26
2019-11-08,14
2019-11-09,14
2019-11-10,6
2019-11-11,5
2019-11-12,9
2019-11-13,12
2019-11-14,11
2019-11-15,23
2019-11-16,20
2019-11-17,9
2019-11-18,12
2019-11-19,14
2019-11-20,20
2019-11-21,9
2019-11-22,20
2019-11-23,3
2019-11-24,4
2019-11-25,9
2019-11-26,7
2019-11-27,7
2019-11-28,9
2019-11-29,10
2019-11-30,9
2019-12-01,10
2019-12-02,11
2019-12-03,10
2019-12-04,14
2019-12-05,6
2019-12-06,9
2019-12-07,14
2019-12-08,10
2019-12-09,8
2019-12-10,17
2019-12-11,14
2019-12-12,16
2019-12-13,7
2019-12-14,21
2019-12-15,10
2019-12-16,8
2019-12-17,6
2019-12-18,4
2019-12-19,22
2019-12-20,10
2019-12-21,15
2019-12-22,5
2019-12-23,9
2019-12-24,7
2019-12-25,2
2019-12-26,5
2019-12-27,12
2019-12-28,20
2019-12-29,8
2019-12-30,12
2019-12-31,23
2020-01-01,10
2020-01-02,16
2020-01-03,19
2020-01-04,22
2020-01-05,8
2020-01-06,15
2020-01-07,19
2020-01-08,22
